save_path,cat_db_key,name,gender_token,parser_gender_guess,ground_truth_gender,ground_truth_source
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,78,Apothelia,male1,male,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,100,Briana,male78,male,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,102,Calypso,female9,female,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,77,Didou,male105,male,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,84,Issy,male53,male,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,94,Jimbob,female35,female,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,66,Jorin,male105,male,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,97,Katia,male34,male,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,92,Mannie,male78,male,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,101,Meeko,female35,female,?,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,85,Midna,female35,female,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,70,Mr. Olives,male7,male,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,68,Nelson,male105,male,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,93,Pretty Girl,female35,female,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,76,Siegmeyer,male53,male,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,91,Simba,male86,male,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,72,Teca,female35,female,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,89,Tito,female35,female,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,96,Twerpy,female50,female,?,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,71,Wes,male1,male,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,98,Zinc,male7,male,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,798,Duan,male26,male,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,802,Hallstein,male72,male,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,800,Judith,female14,female,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,803,Krzysztof,female9,female,male,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,769,Mr. Dude,female5,female,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,770,Rattist,female14,female,female,user_paste_2026-03-06
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,804,Senna Wizwiz,female21,female,female,user_paste_2026-03-06
