save_path,cat_db_key,uid_int,unique_id_hex,name,name_tag,status,is_alive,gender_guess,gender_token,gender_pre_u32_0,gender_pre_u32_1,gender_pre_u32_2,str_base,dex_base,con_base,int_base,spd_base,cha_base,lck_base,ground_truth_source,label_orientation_flag,label_gender,label_age,label_libido,label_aggression,label_inbredness,label_gayness,label_abilities,label_mutations,label_disorders,label_lovers,label_haters,notes
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,200,2399247092306090963,0x214bd684c94b1bd3,Abbey,appeal,In House,1,male,male99,0,3,7,6,7,6,4,3,6,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,80,3015329156782187459,0x29d899e466e163c3,Adell,evolution,In House,1,male,male5,0,5,6,4,5,5,5,4,4,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,194,4920616897791266364,0x44498aff7ca20e3c,Aghea,appeal,In House,1,female,female23,0,10,1,6,6,5,4,5,6,6,user_paste_2026-03-11,rainbow,,,,,,1.0,,,,,,user provided 202cats sexuality labels
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,99,7218088720339886449,0x642bcd72b51ce171,Aisu,Star2,In House,1,male,male17,0,5,10,6,4,5,7,7,7,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,169,-3297757315379149071,0xd23c0331a56146f1,Aiwen,star2,In House,1,male,male55,0,10,7,6,7,6,5,6,7,7,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,162,1761429188942109709,0x1871da83cfe61c0d,Albel,,In House,1,male,male10,0,7,5,5,5,5,7,7,4,5,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,215,1024089872832797106,0xe364c50404619b2,Alexandria,star2,In House,1,female,female36,0,4,5,6,7,6,7,6,7,7,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,113,5665875879038134611,0x4ea13c17c785a953,Alura,,In House,1,female,female21,0,7,2,4,5,5,7,5,4,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,148,2454650180076758876,0x2210ab555f52e75c,Amadala,star2,In House,1,male,male52,0,9,9,4,7,5,7,5,7,6,,,,,,,,,,,,,,
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\202cats.sav,62,-5790599893450759202,0xafa3a813aa73e3de,Anders,,In House,1,male,male17,0,1,1,3,4,5,5,7,5,5,,,,,,,,,,,,,,
